time_ps,DeltaT_mean_K,DeltaT_SEM_K,Integral_DeltaT_Kps,Q_hot_mean_eV,Q_cold_mean_eV,Q_sym_mean_eV,Q_sym_SEM_eV,T_all_mean_K,fit_mask,Q_sym_fit_eV
341.5,0.7085634902519814,1.2603203734404747,3338.263685261611,32.40722346772763,32.40489865957861,32.40606106365313,0.662057804473581,299.43616892998523,0,nan
342.0,0.6813929330918086,1.8368348213765462,3338.611174367447,32.499575007672505,32.49725813482,32.49841657124625,0.6853850082763148,298.9682877249224,0,nan
342.5,0.14025314010301598,1.9523076520942808,3338.8165858857456,32.6615422413126,32.65922237602062,32.66038230866661,0.8543213023413976,299.392930449237,0,nan
343.0,1.4181130058847429,1.5314261581819035,3339.2061774222425,32.38188723688927,32.37954113008091,32.38071418348509,0.9297043041607258,299.4133323265952,0,nan
343.5,0.9332822179759888,1.8134901747688816,3339.7940262282077,32.35155977771028,32.34934120030012,32.3504504890052,0.8724939521416551,299.5475683224946,0,nan
344.0,0.4560247623730106,1.7669997658493868,3340.141352973295,32.34591981488611,32.34351903474017,32.344719424813135,0.8624405072604407,299.4685516445984,0,nan
344.5,0.8265580444107968,1.909631390502712,3340.461998674991,32.5847701599836,32.58256223537828,32.58366619768094,0.9074297602499166,299.2168834662908,0,nan
345.0,0.7112743716084082,1.3429120136610855,3340.8464567789956,32.630385463464336,32.62831423125972,32.62934984736203,0.921384277044158,299.1100149498252,0,nan
345.5,0.562445977741595,1.7567097463765682,3341.1648868663333,32.69810491228272,32.69590598774157,32.69700545001215,0.9221450403794387,299.2554966325278,0,nan
346.0,0.2562002057120253,1.9433270892932022,3341.3695484121968,32.68818059328769,32.685964136198166,32.687072364742924,0.8652298324579843,299.440179174478,0,nan
346.5,1.5496164722270236,2.0782700059051136,3341.8210025816816,32.34616289051828,32.34412180670115,32.34514234860971,0.8434271797666975,299.1325825786362,0,nan
347.0,-0.08995141080678196,2.316036554191025,3342.1859188470366,32.407743197333915,32.40544535772133,32.40659427752762,0.9325959359902514,299.6865081887896,0,nan
347.5,1.2507761488542086,2.107693042290185,3342.4761250315487,32.43333051599056,32.431053053100186,32.432191784545374,1.1214735201465522,299.3843833295474,0,nan
348.0,0.3812955672127941,2.663699869325055,3342.8841429605654,32.26164377845616,32.25915707072272,32.26040042458944,1.0521700539848016,299.67421025733137,0,nan
348.5,1.0536836913181786,2.162643581907207,3343.242887775198,32.03007921275039,32.027917886820795,32.02899854978559,0.8394809509738409,299.2960887769376,0,nan
349.0,1.5098752601635623,2.0098148093178625,3343.8837775130687,31.841087788234653,31.838731692400323,31.839909740317488,0.8712344312072557,299.527814705506,0,nan
349.5,0.7813287883797898,2.132090780418861,3344.4565785252043,32.198149871208805,32.195932615880885,32.197041243544845,0.9196676622590775,299.21870346626343,0,nan
350.0,1.1373622328741817,1.9900165380255814,3344.936251280518,31.959388767962263,31.95709930312005,31.958244035541156,1.0192017151012882,299.70900414537823,0,nan
350.5,1.4657179930987922,2.3030003908228833,3345.5870213370113,31.664694192010394,31.662581034719913,31.663637613365154,0.7961264681289986,299.3785119639182,0,nan
351.0,1.07665040725999,1.8597115407006524,3346.222613437101,31.730309778064473,31.728108422439256,31.729209100251865,0.8284115128595873,299.072303621908,0,nan
351.5,1.3989936307766015,2.4062976609589293,3346.84152444661,31.46688694331806,31.46450693121951,31.465696937268785,1.0409597248675526,299.65780854856405,0,nan
352.0,2.6417622459226093,2.0282980988946475,3347.8517134157846,31.350478691454917,31.34810449173965,31.349291591597286,0.9666229454555806,299.63659027802885,0,nan
352.5,2.344691865753839,2.1036376613587855,3349.098326943704,31.457652968960065,31.455535894158675,31.45659443155937,0.9137405159942976,299.4274203793308,0,nan
353.0,2.482602092074228,1.9078535380803894,3350.3051504331606,31.43415575515446,31.43188662582106,31.43302119048776,0.9332164188958249,299.72386133582097,0,nan
353.5,1.5031901462743804,1.9791380624950674,3351.301598492748,31.397997263733124,31.395720636178158,31.39685894995564,0.9608945244696172,299.51405319704935,0,nan
354.0,2.3602599824884125,1.9593323089626484,3352.2674610249387,31.56179251232097,31.559498767862532,31.560645640091753,0.7763464277675184,299.362843363147,0,nan
354.5,1.0710710667499939,1.4749288507291067,3353.125293787248,31.84642202442428,31.844159354520524,31.845290689472403,0.7183516400388863,299.47575474552457,0,nan
355.0,1.3166400887791951,1.7777240189894896,3353.7222215761303,31.784054195596763,31.781749860699346,31.782902028148055,0.9518404595897413,299.2889368075862,0,nan
355.5,2.251300737215024,2.194295759845834,3354.614206782629,31.985777755025993,31.983362428440888,31.98457009173344,1.0326366834019394,299.40461452307875,0,nan
356.0,1.1239596233826092,1.9495273723945516,3355.4580218727783,32.17093246986478,32.1684205932419,32.16967653155334,0.8158056098480457,299.529592304508,0,nan
356.5,1.7116789161216162,1.8287886190634748,3356.166931507654,32.178828776436056,32.176345306677106,32.17758704155658,0.8784381990678638,299.64057719723377,0,nan
357.0,1.2627807894835428,1.838821139658428,3356.9105464340555,32.1916999526502,32.18919268849932,32.19044632057476,0.8510429984035492,299.6095262191084,0,nan
357.5,1.5131981699532162,1.8675686465424017,3357.6045411739146,32.59679261763267,32.59438123817963,32.595586927906155,0.7617698882865963,299.38838753240015,0,nan
358.0,2.011337432167636,1.9285701073946937,3358.4856750744448,32.267108032464606,32.26440611012076,32.26575707129268,0.7742428323165166,299.6378149218946,0,nan
358.5,0.9460546657038094,2.118252052145893,3359.2250230989125,32.048246224388095,32.04568818448024,32.04696720443417,0.8938714592385119,299.43080541928845,0,nan
359.0,1.532114207476002,2.402003482148857,3359.8445653172075,32.024841167266274,32.02246901894032,32.0236550931033,0.791510262979596,299.411109891976,0,nan
359.5,0.3728176956817606,2.059853066990724,3360.320798292997,32.16916233215652,32.16677841975907,32.16797037595779,0.7667442388698786,299.04968247453183,0,nan
360.0,0.3055419535558258,1.9131285256377053,3360.4903882053063,32.23654501714445,32.2344197188002,32.235482367972324,0.756160739203416,298.908052424164,0,nan
360.5,1.1909999493569785,1.9339340848754154,3360.8645236810344,32.18082017525048,32.17871982075958,32.17976999800503,0.7195517163889424,299.10339451010276,0,nan
361.0,2.036634691504594,1.9770988050067833,3361.67143234125,32.00584626245018,32.003674333439996,32.00476029794508,0.6764340269840801,299.0734081855482,0,nan
361.5,1.0668668567528017,2.08293345248127,3362.447307728314,32.264547086336464,32.26240504651869,32.26347606642757,0.6897805239794895,299.2310995311882,0,nan
362.0,0.7916241687971592,1.778846959454157,3362.9119304847018,32.25751488029819,32.25512808368076,32.256321481989474,0.6808733973077942,299.118519224135,0,nan
362.5,1.3041067487068176,1.6881506231912964,3363.435863214078,32.15199777282051,32.14966469933934,32.150831236079924,0.7340912299706709,299.4138778249238,0,nan
363.0,1.7047149581253849,1.884156674703944,3364.188068640786,32.22469113471434,32.222260368398565,32.22347575155645,0.5545506259557256,299.5343981409852,0,nan
363.5,1.9257031897502315,1.2632764892470139,3365.0956731777546,32.37250550909848,32.37023927011978,32.371372389609135,0.5763971080025188,299.326414639215,0,nan
364.0,1.3809965704201772,1.4958616982711703,3365.9223481177974,32.26448075464032,32.26220238561946,32.26334157012989,0.5389223494067841,299.42273948641963,0,nan
364.5,1.767090926190781,1.682953506330249,3366.70936999195,32.066338447416456,32.06410978556014,32.065224116488295,0.48270165655555014,299.4425300572684,0,nan
365.0,1.4764333873717987,1.8376292516248582,3367.5202510703407,32.19142916897599,32.18906169477996,32.190245431877976,0.5856325419874394,299.83002377616015,0,nan
